CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
11428,3,BIO 112L-14,Princpls of Biology II Lab,0,LAB,Margaret L. Horton,08-JAN-2018 to 25-APR-2018,R,1230-1520,SULV 124,,0,24,24,M
13795,3,BIO 112L-15,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1800-2050,SULV 114,,11,24,13,M
11433,"1,3,6",BIO 271-01,Human Anatomy,4,LEC,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,SULV 101,,5,288,283,M
11434,"5,7",BIO 271L-01,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,M,1230-1520,SULV 141,,0,24,24,M
11435,"5,7",BIO 271L-02,Human Anatomy Lab,0,LAB,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,M,1400-1650,SULV 147,,0,24,24,M
11436,"5,7",BIO 271L-03,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 141,,1,24,23,M
11437,"5,7",BIO 271L-04,Human Anatomy Lab,0,LAB,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 147,,2,24,22,M
11438,"5,7",BIO 271L-05,Human Anatomy Lab,0,LAB,Ann B. Somers,08-JAN-2018 to 25-APR-2018,T,1230-1520,SULV 141,,0,24,24,M
11808,"5,7",BIO 271L-06,Human Anatomy Lab,0,LAB,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,T,1400-1650,SULV 147,,0,24,24,M
11439,"5,7",BIO 271L-07,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,W,1230-1520,SULV 141,,0,24,24,M
11440,"5,7",BIO 271L-08,Human Anatomy Lab,0,LAB,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,W,1400-1650,SULV 147,,0,24,24,M
11441,"5,7",BIO 271L-09,Human Anatomy Lab,0,LAB,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 141,,0,24,24,M
11442,"5,7",BIO 271L-10,Human Anatomy Lab,0,LAB,Jeremy P. Ingraham,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 147,,2,24,22,M
11443,"5,7",BIO 271L-11,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,T,1530-1820,SULV 141,,0,24,24,M
13304,"5,7",BIO 271L-12,Human Anatomy Lab,0,LAB,Margaret K. Hood,08-JAN-2018 to 25-APR-2018,M,1530-1820,SULV 141,,0,24,24,M
11444,3,BIO 277-01,Human Physiology,4,LEC,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,SULV 101,.ENV,49,288,239,M
11445,,BIO 277L-01,Human Physiology Lab,0,LAB,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,T,0930-1220,EBER 327,,3,24,21,M
11446,,BIO 277L-02,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,1300-1550,EBER 323,,0,24,24,M
11447,,BIO 277L-03,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,1630-1920,EBER 327,,9,24,15,M
11448,,BIO 277L-04,Human Physiology Lab,0,LAB,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,W,0930-1220,EBER 327,,1,24,23,M
11449,,BIO 277L-05,Human Physiology Lab,0,LAB,Candie N. Rumph,08-JAN-2018 to 25-APR-2018,W,0930-1220,EBER 323,,0,24,24,M
11450,,BIO 277L-06,Human Physiology Lab,0,LAB,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,W,1300-1550,EBER 327,,2,24,22,M
11452,,BIO 277L-07,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,1300-1550,EBER 323,,3,24,21,M
11453,,BIO 277L-08,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,0930-1220,EBER 323,,5,24,19,M
11454,,BIO 277L-09,Human Physiology Lab,0,LAB,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,R,0930-1220,EBER 327,,6,24,18,M
11455,,BIO 277L-10,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,W,1300-1550,EBER 323,,3,24,21,M
11456,,BIO 277L-11,Human Physiology Lab,0,LAB,Jessica K. Mayer,08-JAN-2018 to 25-APR-2018,T,1300-1550,EBER 327,,8,24,16,M
