CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
12362,1,HIS 750-21,Ph.D. Readings Course,3,IND,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12363,3,HIS 751-06,Ph.D. Dissertation Seminar,3,SEM,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,,,0,2,2,M
12364,3,HIS 751-08,Ph.D. Dissertation Seminar,3,SEM,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12365,3,HIS 751-11,Ph.D. Dissertation Seminar,3,SEM,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,,,1,2,1,M
12366,3,HIS 751-12,Ph.D. Dissertation Seminar,3,SEM,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12368,3,HIS 751-15,Ph.D. Dissertation Seminar,3,SEM,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12369,3,HIS 751-18,Ph.D. Dissertation Seminar,3,SEM,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,,,1,2,1,M
12370,3,HIS 751-21,Ph.D. Dissertation Seminar,3,SEM,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12371,159,HIS 799-06,Dissertation,1,DTS,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,,,1,5,4,M
12372,159,HIS 799-08,Dissertation,1,DTS,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,3,5,2,M
12373,159,HIS 799-10,Dissertation,1,DTS,Phyllis W. Hunter,08-JAN-2018 to 25-APR-2018,,,,,1,1,0,M
12374,159,HIS 799-11,Dissertation,1,DTS,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12375,159,HIS 799-12,Dissertation,1,DTS,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12376,159,HIS 799-15,Dissertation,1,DTS,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,,,1,2,1,M
12377,159,HIS 799-18,Dissertation,1,DTS,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,,,2,5,3,M
12378,159,HIS 799-21,Dissertation,1,DTS,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,,,1,1,0,M
12379,159,HIS 801-08,Thesis Extension,1,DTS,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,1,1,0,M
12380,159,HIS 802-06,Dissertation Extension,1,DTS,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12381,159,HIS 802-08,Dissertation Extension,1,DTS,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,0,2,2,M
12382,159,HIS 802-10,Dissertation Extension,1,DTS,Phyllis W. Hunter,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
12383,159,HIS 802-11,Dissertation Extension,1,DTS,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
14775,159,HIS 802-12,Dissertation Extension,1,DTS,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12384,159,HIS 802-15,Dissertation Extension,1,DTS,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,,,1,2,1,M
12385,159,HIS 802-18,Dissertation Extension,1,DTS,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,,,0,2,2,M
12387,159,HIS 803-06,Grad Resrch Proj Ext,1,IND,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,,,1,1,0,M
12388,159,HIS 803-08,Grad Resrch Proj Ext,1,IND,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,1,1,0,M
12389,159,HIS 803-10,Grad Resrch Proj Ext,1,IND,Phyllis W. Hunter,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
12390,159,HIS 803-11,Grad Resrch Proj Ext,1,IND,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,,,1,1,0,M
12391,159,HIS 803-12,Grad Resrch Proj Ext,1,IND,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,,,1,1,0,M
12392,159,HIS 803-15,Grad Resrch Proj Ext,1,IND,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
12393,159,HIS 803-18,Grad Resrch Proj Ext,1,IND,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
